questionId,questionText,goal,description,opt0_text,opt0_fp,opt1_text,opt1_fp,opt2_text,opt2_fp,opt3_text,opt3_fp
696653613068ccbaadf0d350,How do you stay updated about best practices?,Teacher Upskilling,,I don’t actively update myself,,I follow what senior teachers do,,I attend trainings when assigned,,"I proactively learn from courses, reading, or peers",
696653613068ccbaadf0d351,How often do you communicate learning progress to parents (not just marks)?,Parent–Teacher Collaboration,,Only during PTMs,,Once every few months,,Monthly updates,,Regular short updates (weekly/fortnightly),
696653613068ccbaadf0d352,What do you usually discuss with parents?,Parent–Teacher Collaboration,,Only if child is misbehaving,,Mostly marks and homework,,Strengths and areas for improvement,,Specific strategies to support learning at home,
696653613068ccbaadf0d353,How do you involve parents in the child’s learning?,Parent–Teacher Collaboration,,I don't involve them much,,Ask them to ensure homework is done,,Share simple activities to do at home,,"Work with them as partners, discussing progress and strategies",
696653613068ccbaadf0d354,A student consistently makes the same mistake in Maths despite your explanations. What do you MOST likely do next?,Diagnosing Learning Levels,,"Repeat the explanation one more time, but more clearly",,Ask the child to practice more questions of the same type,,Give a small task to check exactly where the misconception is happening,,Tell the parent the child needs more practice at home,
696653613068ccbaadf0d355,Which statement do you agree with the MOST?,Each Child is Unique,,Some children are naturally better at learning than others,,"Every child can learn, but some may need different types of support",,"If students work hard, all students can reach the same level",,Children who score well usually have higher ability,
696653613068ccbaadf0d356,"Your class has finished a chapter, but many students can’t apply the concept to real-life problems. What do you do?",Competency-Based Learning,,Move ahead because syllabus completion is important,,Give more revision worksheets for the same chapter,,Pause and give new activities that involve using the concept in real situations,,Ask students to memorise key points so they don’t forget,
696653613068ccbaadf0d357,When was the last time you changed or experimented with a classroom strategy because you realised something wasn’t working?,Teacher Upskilling,,This week or last week,,In the last 1–2 months,,Sometime this year,,I usually stick to the strategies I already know,
696653613068ccbaadf0d358,"When parents ask what they can do to support learning at home, you MOST often:",Parent–Teacher Collaboration,,Give them 1–2 simple activities they can do with the child,,Tell them to ensure the child completes homework on time,,Say that most learning happens in school and not to worry,,Usually do not give suggestions; parents choose their own methods,
69679a7210507c4854ea7e0f,"When a class shows uneven learning progress, what is your first response as a school leader?",Learning Progress Monitoring,,Ask teachers to continue as planned so most students stay on track,,Ask teachers to identify specific students who need different support,,Review overall class performance trends,,Discuss strategies collectively in the staff meeting,
69679a7210507c4854ea7e10,"When you visit a classroom, what makes you feel that learning is happening well?",Classroom Observation,,Students are attentive and engaged in activities,,The teacher is explaining concepts clearly,,Students are asking questions and trying different approaches,,Students are able to answer assessment questions correctly,
69679a7210507c4854ea7e11,"When a teacher’s lesson does not go as expected, what do you usually do first?",Teacher Support,,Ask the teacher to reflect on what worked and what did not,,Suggest using a different activity next time,,Check student assessment results,,Discuss the issue with other teachers,
69679a7210507c4854ea7e12,"When reviewing student assessment data, what do you focus on first?",Data Analysis,,Overall class average,,Common misconceptions across students,,Individual students who are struggling,,Sharing findings with teachers for planning,
69679a7210507c4854ea7e13,"When planning improvement efforts in the school, who do you involve early?",School Improvement,,Senior teachers,,Parents and caregivers,,Focus on internal planning first,,Use assessment data to guide decisions,
69679a7210507c4854ea7e14,"When reviewing classroom observations, which pattern concerns you the most?",Student Engagement,,Students finishing work at different times,,Students asking many questions during the lesson,,Students working quietly but showing little initiative,,Students discussing answers with peers,
69679a7210507c4854ea7e15,How do you usually understand students’ varied learning preferences?,Understanding Learners,,Through professional conversation with teachers,,From student classroom behaviour,,From assessment results,,From parent feedback about learning at home,
69679a7210507c4854ea7e16,"When walking into a classroom, what do you naturally look at first?",Classroom Observation,,Whether students are attentive,,Whether the teacher is following the plan,,Whether different students are engaged in different ways,,Whether the class is quiet and orderly,
69679a7210507c4854ea7e17,"If multiple classes struggle with a topic, what is your typical next step?",Instructional Review,,Check whether the chapters were completed,,Compare performance data across classes,,Discuss with teachers how students approached the topic,,Ask teachers to schedule additional revision of the same content,
69679a7210507c4854ea7e18,"When looking at learning data, which trend do you investigate first?",Learning Data Analysis,,Number of students who scored below 40%,,Variation between question types,,Comparisons between sections of the same grade,,Shifts in performance of specific students over time,
69679a7210507c4854ea7e19,"During a class observation, if students complete a task very quickly, you generally think:",Task Rigor,,The task was easy and appropriate,,The teacher’s explanation was very clear,,The task may not have challenged all learners,,Students must have memorised similar questions,
69679a7210507c4854ea7e1a,"When reviewing lesson plans, which aspect do you notice most?",Lesson Planning,,Whether the content matches the textbook,,Whether the activities are manageable within the period,,Whether the intended outcomes are measurable,,Whether instructions are clear for the teacher to follow,
69679a7210507c4854ea7e1b,A teacher asks for support in improving student understanding. Your first question is usually:,Teacher Coaching,,Which part of the syllabus is pending?,,What tasks did students struggle with?,,How did students respond during the lesson?,,Which worksheets have been completed so far?,
69679a7210507c4854ea7e1c,"When teachers prepare activities, what is your main consideration?",Activity Design,,Whether the activity is manageable for all classes within time,,Whether the activity matches the exam format,,Whether students must think in different ways during the activity,,Whether the activity is co-planned or shareable,
69679a7210507c4854ea7e1d,"When you see a teacher using an unfamiliar method, what do you usually do?",Innovation in Teaching,,Check whether class control is maintained,,Observe student reactions closely,,Ask the teacher to explain the thinking behind it later,,Remind them to stay aligned with the yearly plan,
69679a7210507c4854ea7e1e,"When a teacher struggles repeatedly with a concept, your instinctive response is:",Teacher Development,,Ask another teacher to share materials,,Suggest attending an upcoming workshop,,Sit together to understand the root difficulty,,Recommend revising the chapter again,
69679a7210507c4854ea7e1f,"During staff meetings, what do you tend to highlight the most?",Team Leadership,,Completion of planned activities,,Instances of effective teamwork,,Student progress trends,,Challenges teachers are facing,
69679a7210507c4854ea7e20,"When planning parent interactions, what is your priority?",Parent Engagement,,Ensuring logistical arrangements are smooth,,Updating parents about academic schedules,,Helping parents understand how learning happens,,Addressing specific concerns raised by parents,
69679a7210507c4854ea7e21,"When parents ask about their child’s progress, you usually talk about:",Parent Communication,,Attendance and day-to-day behaviour,,Upcoming school activities,,How the child learns and participates,,Marks and test performance,
69679a7210507c4854ea7e22,"When designing the school communication plan, you focus on:",School Communication,,Frequency of communication,,Ensuring messages are clear and short,,Helping parents support learning at home,,Making sure all notices reach parents,
696da37b4c57e82e236437ed,"विद्यार्थ्यांना एखादा विषय समजत नसेल, तर तुम्ही सहसा सर्वप्रथम काय विचार करता?",अध्ययन स्तरांचे निदान,,मला हा विषय अधिक स्पष्टपणे समजावून सांगण्याची गरज आहे,,कोणते विद्यार्थी अडचणीत आहेत आणि त्यामागचे कारण काय आहे,,किती विद्यार्थ्यांनी योग्य उत्तर दिले आहे,,कोणता उपक्रम त्यांना विषय समजून घेण्यास मदत करू शकतो,
696da37b4c57e82e236437ee,"एखादा धडा अपेक्षेप्रमाणे यशस्वी झाला नाही, तर तुम्ही बहुधा काय करता?",शिक्षक कौशल्यवृद्धी,,पुढील वेळी काय बदल करता येईल यावर विचार करता,,याबाबत दुसऱ्या शिक्षकांशी चर्चा करता,,ठरलेल्या योजनेप्रमाणे पुढे जात राहता,,नेमके काय चुकले हे समजून घेण्यासाठी विद्यार्थ्यांचे काम तपासता,
696da37b4c57e82e236437ef,"जेव्हा दोन विद्यार्थी विविध गतीने शिकतात, तेव्हा सामान्यतः तुम्ही काय करता?",प्रत्येक मूल वेगळे आहे,,सर्वांसाठी समान चालीने शिकविणे सुरू ठेवतो.,,मंदगती अध्ययनार्थिला अधिकचे गृहकार्य देतो.,,दोघेही प्रगती करू शकतील असा विविधांगी आधार देतो/ मदत करतो.,,मंद गतीने शिकणाऱ्या विद्यार्थ्याची मदत जलद गतीने शिकणाऱ्या विद्यार्थ्याला करायला सांगतो.,
696da37b4c57e82e236437f0,"विद्यार्थ्यांची शक्तिस्थाने, आवड किंवा कल तुम्हाला कसे कळते?",प्रत्येक मूल वेगळे आहे,,चाचणीच्या गुणांकन निकालाच्या माध्यमातून.,,वर्गातील वर्तणूक व आंतरक्रिया यांच्या निरीक्षणांच्या माध्यमातून.,,पालक - शिक्षक सभांमध्ये पालकांना विचारून.,,"शक्तिस्थाने, आवड किंवा कल मी विशेषत्वाने तपासात नाही.",
696da37b4c57e82e236437f1,लाजाळू विद्यार्थ्यांच्या सहभागाची तुम्ही कशी खात्री करता?,प्रत्येक मूल वेगळे आहे,,उत्तर देण्यासाठी यादृच्छिकपणे त्यांना बोलावून.,,धिट विद्यार्थ्यासोबत जोडी लावून.,,प्रत्येक विद्यार्थी सहभागी होऊ शकेल अशा हलक्या - फुलक्या कृतीं मधून.,,सध्या त्यांना शांत राहू द्या - त्यांची तयारी झाल्यावर ते बोलतील.,
696da37b4c57e82e236437f2,नवीन पाठ सुरू करण्यापूर्वी विद्यार्थ्यांची अध्ययन पातळी (अध्ययन स्तर) तुम्ही कशी तपासता?,अध्ययन स्तरांचे निदान,,मी तपासात नाही - प्रत्येक जण नव्याने सुरुवात करतो.,,पटकन एखादा अनौपचारिक प्रश्न किंवा कृती देऊन.,,आधीच्या परीक्षेतील प्राप्तांक/ गुण तपासून.,,विद्यार्थ्याला आधीच विषय माहित असेल तर तसे विचारून.,
696da37b4c57e82e236437f3,"जेव्हा विद्यार्थी चांगले काम करत नाही, तेव्हा त्यामागील कारणे तुम्ही कसे शोधता?",अध्ययन स्तरांचे निदान,,विद्यार्थ्याने अभ्यास केलेला नसेल असे गृहीत धरून.,,प्रश्नपत्रिका पुन्हा तपासून.,,"नेमकी दरी शोधण्यासाठी छोटे नैदानिक काम, प्रश्न, कृती वापरून.",,आधी पालकांसोबत बोलून.,
696da37b4c57e82e236437f4,अध्यापनाच्या दरम्यान अनेक वेळा आपण कशाप्रकारे प्रगतीचे मूल्यांकन करता?,अध्ययन स्तरांचे निदान,,फक्त परीक्षेच्या वेळी.,,"फक्त तेव्हा, जेव्हा विद्यार्थ्यांची गती मंदावलेली जाणवते.",,आठवड्यातून एक वेळ अनौपचारिक तपासणी.,,"दररोज जलद तपासणी ( धावता आढावा, तोंडी किंवा कृती द्वारा, एखादे काम देऊन- तपासणी.)",
696da37b4c57e82e236437f5,तुमच्या पाठ नियोजनाला सर्वात जास्त काय मार्गदर्शक ठरते?,क्षमताधिष्टित अध्ययन,,पाठ वेळेत पूर्ण झालेला असणे.,,महत्त्वाच्या सूचक बाबी विद्यार्थ्यांच्या लक्षात आल्याची खात्री.,,विशिष्ट क्षमता/ कौशल्ये यांची प्राप्ती.,,इतर शिक्षक जे करतात त्याचे अनुसरण.,
696da37b4c57e82e236437f6,"विद्यार्थी जे शिकले त्या ज्ञानाचे ते उपयोजन करू शकतात, हे तुम्ही कसे तपासता?",क्षमताधिष्टित अध्ययन,,त्यांनी व्याख्या पाठ करण्याचे सांगून.,,दैनंदिन जीवनात उपयोग करावा लागेल असे सुनिश्चित काम देऊन.,,जास्तीत जास्त रिकाम्या जागा भरा असे स्वाध्याय देऊन.,,विषयाची वही पूर्ण केल्याचे तपासून.,
696da37b4c57e82e236437f7,क्षमता विकसनसाठी तुम्ही कोणत्या कृतीला प्राधान्य द्याल?,क्षमताधिष्टित अध्ययन,,फक्त पाठ्यपुस्तकातील प्रश्न.,,पाठांतरावर केंद्रित कार्यपत्रक / वर्कशीट.,,दैनंदिन जीवनातील समस्या निराकरण काम.,,श्रुतलेखन आणि पुनरावृत्ती.,
696da37b4c57e82e236437f8,आपण नवीन अध्यापन पद्धती किंवा तंत्रे-साहित्य कधी वापरले?,शिक्षक कौशल्यवृद्धी,,मी क्वचीतच नवी पद्धती वापरतो/ वापरते.,,मागील वर्षात.,,मागील काही महिन्यात.,,मागील आठवड्यात किंवा या आठवड्यात.,
696da37b4c57e82e236437f9,तुमच्या अध्यापनाच्या अभिप्रायाकडे तुम्ही कशा प्रकारे बघता?,शिक्षक कौशल्यवृद्धी,,ते गैरसोयीचे आहे.,,ते स्वीकारार्ह आहेत परंतु आवश्यक नाही.,,सुधारणा करण्यास ते मला मदत करतात.,,मी सक्रियतेने ते शोधतो/ शोधते.,
696da37b4c57e82e236437fa,अध्यापनाच्या उत्कृष्ट पद्धतींच्या वापराबाबत तुम्ही स्वतःला कसे अद्यावत ठेवता?,शिक्षक कौशल्यवृद्धी,,मी स्वतःला सक्रियतेने अद्यावत ठेवत नाही.,,वरिष्ठ शिक्षक जे करतात तेच मी अनुसरतो /अनुसरते.,,जेव्हा पाठवल्या जाते तेव्हा मी प्रशिक्षणाला उपस्थित राहतो /राहते.,,"मी सक्रियपणे विविध अभ्यासक्रमातून, वाचनातून वा सहकाऱ्यांकडून शिकतो.",
696da37b4c57e82e236437fb,आपण पालकांना कशाप्रकारे सातत्याने विद्यार्थ्यांची अध्ययन प्रगती (फक्त गुणांची टक्केवारी नाही) कळविता?,पालक - शिक्षक सहयोग,,फक्त पालक शिक्षक सभां दरम्यान.,,काही महिन्यातून एक वेळ.,,महिनावार अद्यावत.,,नियमित कमी कालावधीत. (आठवड्यातून/ पंधरवड्यातून),
696da37b4c57e82e236437fc,पालकांसोबत सामान्यतः आपण काय चर्चा करता?,पालक - शिक्षक सहयोग,,फक्त त्याचवेळी जेव्हा मुल गैरवर्तन करते.,,बहुदा गुण टक्केवारी आणि गृहकार्य.,,विद्यार्थ्यांची शक्तिस्थाने आणि सुधार करण्याचे क्षेत्र.,,घरी शिकण्याकरिता निश्चित धोरणांची मदत.,
696da37b4c57e82e236437fd,मुलाच्या शिकण्यामध्ये कशा पद्धतीने पालकांचा सहभाग होऊ शकतो?,पालक - शिक्षक सहयोग,,मी त्यांना सामावून घेत नाही.,,गृहकार्य पूर्ण झाल्याची खात्री करेल.,,घरी करता येण्याजोग्या साध्या कृती सांगेल.,,"भागीदार म्हणून त्यांच्या सोबत काम करेल , प्रगती आणि धोरणांबाबत चर्चा करेल.",
696da37b4c57e82e236437fe,तुम्ही स्पष्टीकरण दिल्यावरसुद्धा गणितामध्ये विद्यार्थी सातत्याने त्याच त्या चुका करतो. पुढील टप्प्यावर बहुदा तुम्ही काय करण्याची शक्यता आहे?,अध्ययन स्तरांचे निदान,,तेच स्पष्टीकरण सुस्पष्टपणे पुन्हा एक वेळ देईल.,,तशाच प्रकारचे अधिकचे प्रश्न मुलाला सराव करायला सांगेल.,,"चुकीचासमज नेमका कुठे होतो आहे, हे तपासण्यासाठी एक छोटे सुनिश्चित काम देईल.",,घरी अधिक सराव करण्याची मुलाला गरज असल्याचे पालकांना सांगेल.,
696da37b4c57e82e236437ff,पुढीलपैकी कोणत्या विधानाशी आपण सर्वाधिक सहमत आहात?,प्रत्येक मूल वेगळे आहे,,काही मुले शिकण्यात नैसर्गिकरित्याच इतर मुलांपेक्षा चांगले असतात.,,"प्रत्येक मूल शिकू शकते, परंतु काही मुलांना वेगळ्या पद्धतीची मदत लागते.",,जर विद्यार्थ्यांनी कठीण परिश्रम घेतले तर सर्वच मुले समान पातळी गाठू शकतात.,,"जी मुले जास्त गुण मिळवितात, सामान्यतः त्यांच्या अंगी उच्च दर्जाच्या क्षमता असतात.",
696da37b4c57e82e23643800,"तुमच्या वर्गाने पाठ /धडा पूर्ण केला, परंतु बरेच विद्यार्थी त्या संकल्पनांचे दैनंदिन जीवनातील समस्यांमध्ये उपयोजन करू शकत नाहीत. तुम्ही काय कराल?",क्षमताधिष्टित अध्ययन,,पाठ्यक्रम पूर्ण करणे महत्त्वाचे असल्याने पुढे जाऊ.,,त्या पाठासाठी अधिकच्या उजळणी वर्कशीट देऊ.,,थोडं थांबू आणि त्या संकल्पना सत्यप्रसंगामध्ये वापरता येईल अशा कृती देऊ.,,विद्यार्थ्यांना महत्त्वाचे मुद्दे पाठ करायला लावू म्हणजे ते विसरणार नाहीत.,
696da8334c57e82e23643802,वर्ग निरीक्षणाच्या पुनरावलोकनाचे वेळी कोणती परिस्थिती तुम्हाला जास्त निदर्शनात येते ?,प्रत्येक मूल वेगळे आहे,,विद्यार्थी कोणत्याही वेळी काम पूर्ण करतात।,,पाठाचे अध्यापन सुरू असताना विद्यार्थी भरपूर प्रश्न विचारतात।,,विद्यार्थी शांतपणे काम करत असतात परंतु फार कमी पुढाकार दर्शवितात।,,विद्यार्थी सहाध्यायी विद्यार्थ्यासोबत उत्तरावर चर्चा करतात।,
696da8334c57e82e23643803,विद्यार्थ्यांच्या प्राधान्याने शिकण्याच्या तह्रा तुम्हाला सामान्यतः कशा कळतात ?,प्रत्येक मूल वेगळे आहे,,शिक्षकांसोबत झालेल्या चर्चेमधून।,,परीक्षा कामगिरीच्या कलातून।,,वर्ग भेटीमध्ये निदर्शनात आलेल्या विद्यार्थी सहभागाच्या प्रकारातून।,,सभेच्या वेळी पालकांच्या अभिप्रायावरून।,
696da8334c57e82e23643804,वर्गांमधून जाताना स्वाभाविकपणे सर्वप्रथम काय नजरेत येते ?,प्रत्येक मूल वेगळे आहे,,की विद्यार्थी सजग आहेत।,,की शिक्षक नियोजनाचा पाठपुरावा करत आहेत।,,की विविध विद्यार्थी विविध मार्गांनी गुंतलेले आहेत।,,की वर्ग शांत व शिस्तबद्ध आहे।,
696da8334c57e82e23643805,जर एखाद्या आशयाबाबत एकापेक्षा जास्त वर्ग संघर्ष करत आहेत तर तुमची नेमकी कृती काय असेल ?,अध्ययन स्तरांचे निदान,,पाठ पूर्ण झालेले आहेत का हे तपासणे।,,सर्व वर्गांच्या कामगिरीच्या डेटाची तुलना करणे।,,अशा आशयापर्यंत विद्यार्थी कसे पोहोचलेत हे शिक्षकांसोबत चर्चा करणे।,,शिक्षकांना अतिरिक्त उजळणी वर्ग लावावयास सांगणे।,
696da8334c57e82e23643806,अध्ययन डेटा बघितला तर तुमच्या तपासात सर्वप्रथम काय येते ?,अध्ययन स्तरांचे निदान,,40% पेक्षा कमी प्राप्तांक असलेली विद्यार्थी संख्या।,,प्रश्न प्रकारांमध्ये भिन्नता।,,एकाच इयत्तेतील दोन तुकड्यांमध्ये तुलना।,,विशिष्ट विद्यार्थ्यांच्या कामगिरीत कालांतराने झालेले बदल।,
696da8334c57e82e23643807,वर्ग निरीक्षणाचे वेळी जर विद्यार्थ्यांनी त्यांना नेमून दिलेले काम पटकन पूर्ण केले तर सामान्यतः तुम्ही विचार करता की.....,अध्ययन स्तरांचे निदान,,नेमून दिलेले काम सोपे आणि समर्पक होते।,,शिक्षकांचे स्पष्टीकरण खूप सुस्पष्ट होते।,,सर्वच विद्यार्थ्यांसाठी नेमून दिलेल्या कामात आव्हान नव्हते।,,विद्यार्थ्यांनी समानांतर प्रश्न नक्कीच पाठ केलेले होते।,
696da8334c57e82e23643808,पाठटाचण चे पुनरावलोकन करतेवेळी जास्त करून कोणता पैलू निदर्शनात येतो ?,क्षमताधिष्ठित अध्ययन,,की आशय पुस्तकासोबत जुळतो।,,की तासिकेमध्ये कृती नियंत्रित करता येतात।,,की उद्दिष्टानुसार अध्ययन निष्पत्ती मोजता येतात।,,की सुस्पष्ट सूचना शिक्षकांसाठी अनुसरणीय आहेत।,
696da8334c57e82e23643809,""" विद्यार्थ्यांचे आकलन वाढण्यासाठी शिक्षक मदत मागतात "", सामान्यतः तुमचा प्रश्न असतो की...",क्षमताधिष्ठित अध्ययन,,पाठ्यक्रमाचा कोणता भाग प्रलंबित आहे ?,,कोणत्या संकल्पनां सोबत किंवा नेमून दिलेल्या कामांसोबत विद्यार्थ्यांना संघर्ष करावा लागतो ?,,पाठाच्या वेळी विद्यार्थी कशाप्रकारे प्रतिसाद देतात ?,,आतापर्यंत कोणते कार्यपत्रक (वर्कशिट) पूर्ण झालेले आहे ?,
696da8334c57e82e2364380a,"शिक्षक "" कृती "" कधी तयार करतात ? तुमचा मुख्य विचार काय आहे ?",क्षमताधिष्ठित अध्ययन,,की सर्वच वर्गांसाठी कृती हाताळता येतात,,की परीक्षा पद्धती सोबत कृती जुळतात,,की कृती दरम्यान विद्यार्थी विविध मार्गांनी विचार करतातच,,की कृती संपूर्ण तासिका व्यापते,
696da8334c57e82e2364380b,"ज्यावेळी शिक्षकांना तुम्ही अपरिचित पद्धत वापरताना बघता , त्यावेळी सामान्यतः तुम्ही काय करता ?",शिक्षक कौशल्यवृध्दी,,वर्ग नियंत्रण राखले जात आहे हे तपासता,,विद्यार्थी प्रतिक्रिया निरखून बघता,,यामागील विचार स्पष्ट करायला शिक्षकांना नंतर विचारता,,वार्षिक नियोजनासोबत त्यांना समानांतर राहण्याची आठवण करून देता।,
696da8334c57e82e2364380c,"शिक्षक जेव्हा एखाद्या संबोधासंबंधी वारंवार संघर्ष करतात , सहजप्रवृत्तीनुसार तुमचा प्रतिसाद असतो.....",शिक्षक कौशल्यवृद्धी,,दुसऱ्या शिक्षकाला साहित्य देण्याची मागणी करणे,,भविष्यात होणाऱ्या कार्यशाळेला उपस्थित राहण्याचा सल्ला देणे,,समस्या मुळातून समजण्यासाठी एकत्र येणे,,प्रकरण पुन्हा परीक्षण करून सुधारणांची शिफारस करणे।,
696da8334c57e82e2364380d,कर्मचारी बैठकीच्या वेळी प्रकर्षाने कोणत्या गोष्टींकडे तुमचा कल असतो ?,शिक्षक कौशल्यवृद्धी,,नियोजित कृती पूर्ण करण्याकडे।,,प्रभावी सांघिक कार्याचे दाखले देण्याकडे।,,विद्यार्थी प्रगतीकडे।,,शिक्षकांना भेडसावणाऱ्या आव्हानांकडे।,
696da8334c57e82e2364380e,पालक - आंतरक्रिया नियोजन करताना तुम्ही कशाला प्राधान्य द्याल ?,पालक - शिक्षक सहयोग,,विद्यार्थ्यांपर्यंत शिक्षण पोहोचण्याची व्यवस्था सुरळीत असल्याची खात्री।,,पालकांना शैक्षणिक वेळापत्रकाबाबत अद्यावत करणे।,,"शिक्षण (अध्ययन) कसे घडते , हे पालकांना समजण्यासाठी मदत करणे।",,पालकांतर्फे उठवलेल्या विशेष बाबी संबोधित करणे।,
696da8334c57e82e2364380f,"जेव्हा पालक मुलाच्या प्रगती बद्दल विचारतात , सामान्यतः तुम्ही कशाच्या संबंधी बोलता ?",पालक - शिक्षक सहयोग,,उपस्थिती आणि वर्तणूक।,,भविष्यातील शाळेचे कृती - कार्यक्रम।,,त्यांचे मुल कसे शिकते आणि सहभागी होते।,,प्राप्त गुण आणि चाचणीतील कामगिरी।,
696da8334c57e82e23643810,"जेव्हा शाळेचे संप्रेषणासंबंधी (संभाषण) नियोजन आखत असता, तेव्हा तुम्ही कशावर लक्ष केंद्रित करता ?",पालक - शिक्षक सहभागीता,,संप्रेषणांची/संभाषणांची वारंवारिता।,,संदेश/मेसेज सुस्पष्ट व कमी शब्दात (लहान) असल्याची खात्री।,,पाल्याने घरी शिकण्याचा पालकांनी आधार बनण्यासाठीची मदत।,,सर्व सूचना पालकांपर्यंत पोहोचतात याची खात्री करणे।,
696da8334c57e82e23643811,"एखाद्या वर्गात विद्यार्थ्यांची शिकण्याची प्रगती असमान दिसत असेल, तर शाळेचे प्रमुख म्हणून तुमची पहिली प्रतिक्रिया काय असेल?",प्रत्येक मूल वेगळे आहे,,बहुतेक विद्यार्थी योग्य मार्गावर राहतील यासाठी शिक्षकांना नियोजित पद्धतीनेच अध्यापन सुरू ठेवण्यास सांगणे,,वेगळ्या प्रकारच्या मदतीची गरज असलेल्या विद्यार्थ्यांची यादी शिक्षकांना करायला सांगणे,,संपूर्ण वर्गाच्या प्रगतीचा एकूण आढावा घेणे,,शिक्षकांच्या बैठकीत एकत्रितपणे विविध उपाययोजनांवर चर्चा करणे,
696da8334c57e82e23643812,"तुम्ही एखाद्या वर्गाला भेट देता तेव्हा, शिकण्याची प्रक्रिया प्रभावीपणे घडत आहे असे तुम्हाला कशावरून वाटते?",प्रत्येक मूल वेगळे आहे,,विद्यार्थी लक्षपूर्वक आणि सक्रियपणे विविध उपक्रमांमध्ये सहभागी होत आहेत,,शिक्षक संकल्पना स्पष्ट आणि समजण्यास सोप्या पद्धतीने समजावून सांगत आहेत,,विद्यार्थी प्रश्न विचारत आहेत आणि विविध पद्धती वापरून प्रयत्न करत आहेत,,विद्यार्थी मूल्यमापनातील प्रश्नांची योग्य उत्तरे देऊ शकत आहेत,
696da8334c57e82e23643813,"एखाद्या शिक्षकाचा धडा अपेक्षेप्रमाणे झाला नाही, तर तुम्ही सहसा प्रथम काय करता?",शिक्षक कौशल्यवृद्धी,,काय प्रभावी ठरले आणि काय ठरले नाही यावर शिक्षकांनी स्वतः चिंतन करावे असे सांगता,,पुढील वेळी वेगळा उपक्रम वापरण्याचा सल्ला देता,,विद्यार्थ्यांच्या मूल्यमापनाच्या निकालांची तपासणी करता,,इतर शिक्षकांशी या विषयावर चर्चा करता,
696da8334c57e82e23643814,विद्यार्थ्यांच्या मूल्यमापनाचा डेटा पाहताना तुम्ही सर्वप्रथम कशावर लक्ष केंद्रित करता?,अध्ययन स्तरांचे निदान,,संपूर्ण वर्गाचा सरासरी निकाल,,विद्यार्थ्यांमध्ये आढळणाऱ्या सामान्य गैरसमजुती,,अडचणीत असलेल्या वैयक्तिक विद्यार्थ्यांवर,,पुढील नियोजनासाठी शिक्षकांना तपशीलवार निकाल सांगणे,
